review,sentiment
"jeez, this was immensely boring. the leading man (Christian Schoyen) has got to be the worst actor i have ever seen. and another thing, if the character in the movie moved to America when he was ten or something and had been living here for over 20 years, he would speak a lot better English than what he pulls of here. or to say it in my own Language ""Skikkelig gebrokkent"". But it is cool to see Norwegian dudes in a movie made in Hollywood. it was just a damn shame they were talentless hacks. The storyline itself is below mediocre. I have a suspicion that Christian Schoyen did this movie just to live the dream, as he clearly does in the film by humping one beautiful babe after another.",negative
"Great just great! The West Coast got ""Dirty"" Harry Callahan, the East Coast got Sharky. Burt Reynolds plays Sharky in ""Sharky's Machine"" and I enjoyed every minute of it. Playing a maverick narcotics cop in Atlanta, GA is just what everyone wants. Instead of suspension, he's sent to vice squad. Like in the Dirty Harry movies or any other cop movies, the captain is always going to be the jerk. When I was a kid, I was curious what that movie meant ""Sharky's Machine"". Well I knew who played Sharky, I wonder what his machine was. It was his GROUP of fellow cops. After uncovering the murder, he goes all out to find the perp. When it turns out to be a big time mob boss, Sharky doesn't play around. When he gets the other prostitute into safety, Sharky fights back hard and good despite losing a finger to the thug. And I also like the part where the bad gets blown out of the building through a plate glass window. That was the BOMB! Randy Crawford's ""Street Life"" really put the movie in the right mood, and the movie itself is really a great hit to me, ALWAYS! Rating 4 out of 5 stars.",positive
"It's made in 2007 and the CG is bad for a movie made in 1998. At one part in the movie there is a stop motion shot of a dinosaur that actually looks good, but this just makes the extremely amateur work on the CG stuff look even worse.<br /><br />The writing, acting, directing and everything else in this movie is just terrible. This is as bad as, if not worse than Raptor Island and 100 million BC... pure crap! Again, as with the other movies, the only scary part about this movie is that it actually got made and is now being aired on the sci-fi channel.<br /><br />I still can't understand how they somehow get people who do have some acting skills to act in these movies and then somehow get them to act as terrible as everyone else in the movie.<br /><br />For those of you who are unsure, the other poster is obviously being sarcastic in his review... or he is one of the people who worked on this movie.",negative
"This movie stinks majorly. The only reason I gave it a 3 was because the graphics were semi charming. It's total disregard for a plot and the lack of even insubstantial surface character development made it seem like just a bunch of nice drawings. This is by far THE worse anime that came out of Japan. I can't believe they actually put their names on this garbage. What a rip off selling this thing for $20. If you haven't seen this don't bother. If you have, I pity you.",negative
"We can start with the wooden acting but this film is a disaster. Having grown up in NY I can tell you that this film is an insult to anyone who is familiar with the community or the people. I'm not even a defender of the culture in any way and found this to be a Hollywoodized piece of trash to fit its own fictional, ridiculous culture presentation and language that anyone who watches Seinfeld knows is inaccurate. This is a colossal waste of time and, even worse, is not exactly interesting since the outcome is obvious and the scenes of confrontation are laughably bad. Who acts this way? Nobody.<br /><br />The writer's name sounds Israeli or something of that nature but it is clear he doesn't have a clue about the subject he is writing about. Looking at his bio, it is shocking he lived in New York and wonder how much real connection he had with the community. Even mediocre films like ""A Stranger Among Us"" are better and more closer to the truth than this dreck. Reading this guy's credits it's no wonder he has written scripts on all C grade films that somehow feature stars. shocking. Perhaps he knows someone because this script is even below par for a bad Dolph Lundgren film.",negative
"This movie starts off somewhat slowly and gets running towards the end. Not that that is bad, it was done to illustrate character trait degression of the main character. Consequently, if you are not into tragedies, this is not your movie. It is the thought provoking philosophy of this movie that makes it worthwhile. If you liked Dostoyevsky's 'Crime and Punishment,"" you will probably like this if only for the comparisons. The intriguing question that the movie prompts is, ""What is it that makes a renowned writer completely disregard his publicly-aproved ideas for another set?"" The new ideas are quite opposed to the status quo-if you are a conservative you will not like this movie. <br /><br />Besides other philosophical questions, I must admit that the movie was quite aesthetically pleasing as well. The grassy hillsides and beautiful scenery helped me get past the slow start. Also, there was use of coloric symbolism in representing the mindstate of the main characters. If these sorts of things do not impress you, skip it. Overall I give this movie a 7.",positive
"This is a slightly uneven entry with one standout sequence involving an over-the-hill gang reminiscing in the diner that once - thirty years previously - was their hideout; one ho-hum duologue between two ageing rock musos; a noirish kidnap turned on its head and an opening sequence (plus epilogue) involving heist artist wannabe Edward Baer and current 'hot' property Anna Magloulis which has its moments. No movie in which Jean Rochefort appears can be dismissed lightly and here he shines as one of the over-the-hill quintet, indeed the film is worth seeing for Rochefort alone but each of the sequences has something to offer and it's definitely worth a look.",positive
"I was first introduced to John Waters films by seeing ""Female trouble"" on IFC. I was disgusted but for some sick reason i enjoyed it. Then, i picked up the Pink Flamingos DVD in the John Waters Boxed Set. The movie is about Babs Johnson ""The Filthiest Person Alive"" who lives in a trailer in Maryland with her obese egg obsessed mother,and her deranged son ""Crackers"". In the movie you will see such sick sights as sex with chickens, drag-queens, people eating feces, torture, and all other sorts of random humiliation. The film has a soundtrack from 60's rock and roll artists. The only problem is that some parts of the film seem to drag on and can get a little boring. I found ""Female Trouble"" a little more fun. Rated NC-17 for Explicit sex, violence, and disturbing images. Enjoy.",positive
"This movie has very good acting by virtually all the cast, a gripping story with a chilling ending, great music, and excellent visuals without significant special effects. It is interesting to note though that, like so much science fiction, its predictions for the future don't appear likely to come to pass as early as depicted. That's not to say we're out of the woods yet, but 2022 is now obviously too soon to be in this condition. It shares this failing with a fairly illustrious list of science fiction classics: ""1984"", ""2001: A Space Odyssey (compare its space station with our International Space Station) and Isaac Asimov's ""I Robot"" (positronic brains were to have been invented in the 1990's).",positive
"I can't help but notice the negative reviews this movie has gotten. To be honest, I saw the preview for this movie, and the premise looked intrigued me. Yes, I rented it after reading others' comments. They are correct in that some of the acting leaves a lot to be desired. They are also correct that one of the best performances of this movie was that of Dr. Graves.<br /><br />Also interesting is Scott Clark, who plays Grant, the kid in the wheelchair. I identify with the character he played, perhaps because I am in a wheelchair.<br /><br />This movie is certainly worth your looking at.",positive
"The production quality, cast, premise, authentic New England (Waterbury, CT?) locale and lush John Williams score should have resulted in a 3-4 star collectors item. Unfortunately, all we got was a passable 2 star ""decent"" flick, mostly memorable for what it tried to do.........bring an art house style film mainstream. The small town locale and story of ordinary people is a genre to itself, and if well done, will satisfy most grownups. Jane Fonda was unable to hide her braininess enough to make her character believable. I wondered why she wasn't doing a post doctorate at Yale instead of working in a dead end factory job in Waterbury. Robert DiNiro's character was just a bit too contrived. An illiterate, nice guy loser who turns out to actually be, with a little help from Jane's character, a 1990 version of Henry Ford or Thomas Edison.<br /><br />This genre has been more successfully handled by ""Nobody's Fool"" in the mid 90s and this year's (2003) ""About Schmidt."" I wish that the main stream studios would try more stuff for post adolescents and reserve a couple of screens at the multi cinema complexes for those efforts.<br /><br />I'll give it an ""A"" for effort.",positive
"I've never really been sure whether I liked this documentary or not. It was shown on Channel 4 before a cut down version of Revelations, and is on the Revelations video tape before the uncut show. The documentary is basically friends of Bill saying how great he was for an hour with video clips of the show mixed in, a bit like a trailer for the film you're about to watch. It also features David Letterman grovelling like a worm for dumping Bill off the his show before he died, the reason? Bill made a joke about how Pro-Life people should picket funerals, and Letterman had Pro-life advertising. Anyway look out for the video as Revelations is Bill at his ranting best :)",positive
Send them to the freezer. This is the solution two butchers find after they discover the popularity of selling human flesh. An incredible story with humor and possible allegories that make it much more than a horror film. The complex characters defy superficial classification and make the story intriguing and worthwhile - if you can stand it. Definitely a dark film but also a bit redemptive.,positive
"This movie was released originally as a soft ""X"", apparently with the explicit sex deleted. Later, the producers ""relented"" (smelled money) and re-released it with the excised scenes restored (apparently only about 3 minutes). I guess since Kristine was of age, it was held against her and her promising career came grinding to a halt. I guess its all in the timing (witness Pam Anderson's career)--but Ronald Reagan was in charge during Kristine's debacle (we had not heard about Nancy Reagan's affairs), Bill Clinton and Monica Lewinski were in full swing during Pam's ""coming out"".<br /><br />The sex is just icing on the cake, both version satisfy. This naughty musical is way above similar of others that were released at the same time.",positive
"With all this stuff going down at the moment with MJ i've started listening to his music, watching the odd documentary here and there, watched The Wiz and watched Moonwalker again. Maybe i just want to get a certain insight into this guy who i thought was really cool in the eighties just to maybe make up my mind whether he is guilty or innocent. Moonwalker is part biography, part feature film which i remember going to see at the cinema when it was originally released. Some of it has subtle messages about MJ's feeling towards the press and also the obvious message of drugs are bad m'kay.<br /><br />Visually impressive but of course this is all about Michael Jackson so unless you remotely like MJ in anyway then you are going to hate this and find it boring. Some may call MJ an egotist for consenting to the making of this movie BUT MJ and most of his fans would say that he made it for the fans which if true is really nice of him.<br /><br />The actual feature film bit when it finally starts is only on for 20 minutes or so excluding the Smooth Criminal sequence and Joe Pesci is convincing as a psychopathic all powerful drug lord. Why he wants MJ dead so bad is beyond me. Because MJ overheard his plans? Nah, Joe Pesci's character ranted that he wanted people to know it is he who is supplying drugs etc so i dunno, maybe he just hates MJ's music.<br /><br />Lots of cool things in this like MJ turning into a car and a robot and the whole Speed Demon sequence. Also, the director must have had the patience of a saint when it came to filming the kiddy Bad sequence as usually directors hate working with one kid let alone a whole bunch of them performing a complex dance scene.<br /><br />Bottom line, this movie is for people who like MJ on one level or another (which i think is most people). If not, then stay away. It does try and give off a wholesome message and ironically MJ's bestest buddy in this movie is a girl! Michael Jackson is truly one of the most talented people ever to grace this planet but is he guilty? Well, with all the attention i've gave this subject....hmmm well i don't know because people can be different behind closed doors, i know this for a fact. He is either an extremely nice but stupid guy or one of the most sickest liars. I hope he is not the latter.",positive
"I went to see Hamlet because I was in between jobs. I figured 4 hours would be great, I've been a fan of Branagh; Dead Again, Henry V. I was completely overwhelmed by the direction, acting, cinematography that this film captured. Like other reviews the 4 hours passes swiftly. Branagh doesn't play Hamlet, he is Hamlet, he was born for this. When I watch this film I'm constantly trying to find faults, I've looked at the goofs and haven't noticed them. How he was able to move the camera in and out of the Hall with all the mirrors is a mystery to me. This movie was shot in 70 mil. It's a shame that Columbia hasn't released a Widescreen version of this on VHS. I own a DVD player, and I'd take this over Titanic any day. So Columbia if you're listening put this film out the way it should be watched! And I don't know what happened at the Oscars. This should have swept Best Picture, Best Actor, Best Direction, best cinematography. What films were they watching? I felt sorry for Branagh at the Oscars when he did a tribute to Shakespeare on the screen. They should have been giving a tribute to Branagh for bringing us one of the greatest films of all time.",positive
"After three outstanding BBC television series' and a Christmas special, the bizarre and grotesque (yet perversely lovable) characters of bleak fictional town Royston Vasey make the jump to celluloid, along with their creators - The League of Gentlemen. <br /><br />Mark Gatiss, Steve Pemberton and Reece Shearsmith are the more familiar three-quarters of the foursome, with the central roles shared between the trio. In an added twist, the final member of the team - Jeremy Dyson - is portrayed by actor Michael Sheen. <br /><br />Where to start? Dyson (Sheen) is in conversation with his writing cohorts, when - horror of horrors - he is paid a visit by two of his grisliest characters. Both Tubbs (Pemberton) and Edward Tattsyrup (Shearsmith) are unhappy at The League's decision to kill off the Vasey inhabitants. ""You're not real!"" screams Dyson in vain, as the local shopkeepers from hell exact their revenge. Mayhem ensues, as reality and Vasey converge with the vast array of characters entering our world to save theirs. <br /><br />Confused? You will be, as the camp, innuendo-ridden Teutonic, Herr Lipp (Pemberton) is forced to take on the daily guise of Pemberton (Pemberton), while Pemberton (Pemberton) is kidnapped by cannibalistic butcher Hillary Briss (Gatiss) and Geoff Tipps (Shearsmith). <br /><br />With shades of an even more demented Misery, Briss attempts to force Pemberton to rewrite the film - thus continuing his life - but leaving Geoff in charge is never a good idea. The erstwhile comedian becomes embroiled in The League's latest, post-Vasey adventure - The King's Evil - entering a typically twisted 17th century England, complete with cameos from Victoria Wood, Peter Kay and David Warner. Known as George of Asda (due to his select line of clothing), Geoff saves the day and is treated as a hero, but for the denouement of the film, he joins characters old and new at the Church of Royston Vasey to meet with their makers. <br /><br />For fans of the series, the film is a must-see. And yes, it does feature Papa Lazarou (albeit a little too fleetingly). Pen-loving Pauline, Mickey, Barbara and cursed vet Matthew Chinnery are some of the other favourites on show, and The League's portrayal of themselves (plus Sheen's as Dyson) is also a fascinating insight. <br /><br />The League of Gentlemen are the Radiohead of British comedy - they are ambitious, groundbreaking (witness the excellent Series Three) and not happy to rest on their laurels. They also divide opinion accordingly.<br /><br />Certainly, their macabre sense of humour is not for every palate, and while not written exclusively for 'fans', a grasp of the storyline would benefit those who have previously viewed the series. Nevertheless, Apocalypse is a film in its own right and The League will no doubt manage to attract a new breed of fan, as well as appeasing and pleasing existing ones.",positive
"The film is hugely enjoyable with a great cast, and excellent direction by James Eves. The movie is entertaining with a very charismatic performance from Stephanie Beecham and everyone is perfectly cast. James Eves has a good eye for casting and directs like a conductor knowing exactly when to crank up the action, fall and then rise to a climax. He does this with an element of humour, Plenty of twists, thrills and blood. This is a return of the old vampire movie, with loads of gore, blood and screams. The movie works at a great speed and the characters take you on a terrific adventure,but what makes it work is that the film doesn't take itself too seriously with plenty of tongue in cheek action.Great !",positive
"I'm writing this note as a chess player as well as as a movie viewer. I watched the 1997 Kasparov-Deep Blue games on the Internet. I know something about the issues that were raised. Other chess players will come along and want to know whether this movie is worth seeing/buying, and I'm talking largely to them. However, I'll try not to ignore those who aren't ""into chess"".<br /><br />This movie is about the 1997 match between Garry Kasparov and the custom-built computer ""Deep Blue"". However, the first image you see in the movie is not of Kasparov, or of the computer, but of ""THE TURK"". This is an ""automaton"" which was built in Europe at the turn of the 18th-19th century and played winning chess against all comers. I put the word ""automaton"" in quotes because it was, as everyone now knows, a fake. There was a man inside it.<br /><br />If you don't like seeing ""THE TURK"", then you won't be able to stand the movie, because ""THE TURK"" has as much screen time as Kasparov, maybe more, both in modern footage and in b/w footage from some old movie. The reappearance of ""THE TURK"" every few seconds underscores Kasparov's charge that ""Deep Blue"" had human assistance - that it was (to some degree) a fake computer, that IBM cheated, that there was ""a man inside it"" working behind the scenes to help it win. Not only does Kasparov believe this, but the filmmakers seem to believe it too. And so this is not really much of a movie about chess games or about programming chess computers. It is a propaganda piece about a big corporation supposedly misusing a helpless grandmaster. Really it is a lot like a ""negative campaign ad"", as it is chock full of ominous music and evocative camera work and spooky sound effects and innuendos (""we never found out what was behind that locked door"") and the ever-present ""TURK"".<br /><br />Now, most people in the chess community are pretty much convinced that IBM did not cheat and that this was Garry's paranoia at work. To start with, in order for a human to help ""Deep Blue"" beat Kasparov, it would seem that you would need a human who was better than ""Deep Blue"" AND better than Kasparov. Since there was no such person, the whole idea is a bit suspect from the start. Furthermore, by the time this movie was made, there were computer programs that could run on your PC that could beat strong grandmasters. Today, much more than in 1997, we take it for granted that a computer can do things you might not expect. And we are less likely to take it as a monumental human tragedy that a computer beat a guy in chess. (And in fact, the bottom line is that Kasparov beat himself with two bad mistakes, including resigning game 2 in a drawn position.) <br /><br />As for the chess games, you actually see very little of them. There are a few comments from masters and commentators that tell briefly how they went, but really you don't get to see hardly any of the strategy or tactics at all. Naturally as a chess player I take this as a major shortcoming, but I think that non-players are being cheated too. Imagine a baseball movie, for example, where you don't hardly get to see any of the game - just a commentator telling you that ""in Game Four, the White Sox defeated the Astros with such and such a score."" Nobody would make a movie like that. But here, for example, we are told that Kasparov made a bad blunder in the opening of the decisive game 6, but we aren't shown the position on the screen, or told why it was a blunder, or what he should have done instead, or anything. We just see a few seconds of Kasparov holding his head in his hands, and then more atmospheric sound effects and camera work.<br /><br />(Since I saw this on DVD, let me warn chess players about the DVD as well. The jacket promises you that the Extras include the games ""with analysis"". Is this grandmaster analysis, which people like us might find interesting? NO! It is the automated computer voice synthesizer analysis from some version of Chessmaster, that tells you when a piece is attacked and a pawn gets isolated and that you are in the ""Caro-Kann Defense, Main Line"". Blahhhh.) <br /><br />Someone might then come along and say, ""Well, clearly this movie is meant to dramatize the match for the non-player, and so it's unfair to be impatient with it."" But actually it doesn't do a very good job of reaching out to the non-player either - it skates over some points that a true novice would really want to have explained. For example it says that Kasparov could have gotten ""perpetual check"" in the second game, but it doesn't explain what that is (or show what it would have looked like on the board, which would have been interesting). It flashes back to the Kasparov-Karpov matches but doesn't explain why there were two of them or who organized them etc. I didn't need this information myself, but I'm familiar with it. If you don't already have chess experience, there are places where you are going to be confused, and this is just a defect in the film.<br /><br />Ultimately I can't recommend the movie, which, like ""THE TURK"" itself, is not what it purports to be (a documentary) but more of a stage illusion.",negative
"Three kids are born during a solar eclipse and turn into vile murderous little tykes who're above suspicion by everyone, save for Joyce (Lori Lethin) and her younger brother Timmy. That's the story in a nutshell. The acting in this one is tolerable for the most part. Notable for MTV-J Julie Brown (not the 'Downtown' one) showing some skin, and a very early part (albiet small) for Michael Dudikoff. Not a great film by any stretch of the imagination, but in the 'killer kids' sub-genre it's a bit of a guilty pleasure.<br /><br />Eye Candy: Julie Brown shows T&A (the only film thus far, to claim that honor); Sylvia Wright gets topless <br /><br />DVD Extras (R1): 16 minute interview with Producer Max Rosenberg (wherein he insults the director AND Canada, great stuff); Biography of Ed Hunt; and trailers for ""Kiss of the Taratula"", ""Don't open the Door"", & a red-band one for ""Homework"" (which features nudity) <br /><br />My Grade: B-",positive
